num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
131,5.30534,3.89313,0.454676,1
53,6.62264,3.56604,0.612536,1
22,7,3.27273,0.675325,1
329,5.231,4.66869,0.298664,1
370,4.87568,4.33243,0.316519,1
16,9.75,3.1875,0.775641,1
145,5.28276,3.8069,0.468668,1
80,5.7625,3.525,0.561822,1
142,5.66197,3.99296,0.471393,1
91,6.49451,3.59341,0.600677,1
69,6.37681,3.66667,0.581818,1
53,6.09434,3.66038,0.563467,1
61,6.13115,3.55738,0.582888,1
45,6.8,3.44444,0.640523,1
105,6.04762,3.93333,0.514961,1
83,6.10843,3.6747,0.56213,1
63,6.96825,3.52381,0.637813,1
93,6.27957,3.6129,0.583904,1
50,6.46,3.4,0.628483,1
339,5.19764,4.38053,0.349603,1
11,8.36364,3.09091,0.75,1
405,4.58025,4.0963,0.323989,1
4,12.75,2.75,0.862745,1
270,5.22593,4.4,0.349398,1
339,5.0472,4.25074,0.355932,1
96,6.30208,3.59375,0.58843,1
49,6.14286,3.57143,0.581395,1
69,6.43478,3.66667,0.585586,1
10,9.2,3.3,0.75,1
51,7.11765,3.47059,0.652893,1
494,5.12146,4.67004,0.283399,1
70,6.34286,3.74286,0.567568,1
614,4.91368,4.59935,0.267484,1
76,6.30263,3.78947,0.557411,1
3,10.3333,2.33333,0.870968,1
33,7.18182,3.30303,0.679325,1
74,6.63514,3.63514,0.602851,1
67,6.08955,3.70149,0.556373,1
316,5.97152,4.85759,0.354001,1
78,5.84615,3.64103,0.548246,1
115,5.66087,3.92174,0.483871,1
3,14.6667,2.33333,0.909091,1
283,5.91519,4.69965,0.374552,1
262,5.73664,4.53435,0.383899,1
8,9.875,3,0.797468,1
90,5.96667,3.52222,0.577281,1
136,6.52206,3.45588,0.62345,1
75,6,3.57333,0.571111,1
71,7.09859,4.42254,0.517857,1
118,5.82203,3.77966,0.522562,1
81,5.79012,3.49383,0.569296,1
42,5.83333,3.45238,0.579592,1
68,5.76471,3.64706,0.540816,1
137,5.92701,3.9927,0.495074,1
33,6.42424,3.21212,0.65566,1
331,5.11178,4.4139,0.332151,1
29,6.86207,3.31034,0.663317,1
518,5.27606,4.78185,0.283205,1
59,5.9322,3.52542,0.574286,1
84,6.11905,3.69048,0.560311,1
4,13.5,2.5,0.888889,1
157,5.51592,4.0828,0.441109,1
46,8.91304,3.47826,0.721951,1
3,12,2.33333,0.888889,1
210,5.32381,4.31429,0.37746,1
50,5.84,3.46,0.578767,1
858,5.20163,5.0979,0.212189,1
69,6.37681,3.75362,0.568182,1
126,6.15873,3.80952,0.543814,1
291,6.05155,4.04124,0.497445,1
286,6.24825,5.06643,0.349189,1
1,28,1,1,1
639,5.16745,4.80438,0.26378,1
45,6.48889,3.37778,0.633562,1
203,5.74877,4.41872,0.405313,1
126,5.97619,4.00794,0.49668,1
1,37,1,1,1
1,11,1,1,1
62,6.54839,3.77419,0.576355,1
2,13.5,2,0.925926,1
3,17,2.66667,0.901961,1
252,6.18651,4.81746,0.382938,1
134,6.02239,4.17164,0.473358,1
107,5.31776,3.65421,0.500879,1
44,6.20455,3.43182,0.608059,1
94,5.24468,3.62766,0.498986,1
66,6.69697,3.71212,0.595023,1
86,6.0814,3.60465,0.571702,1
198,5.87879,4.5202,0.401203,1
88,5.27273,3.52273,0.521552,1
54,5.88889,3.55556,0.566038,1
276,6.21014,4.14493,0.493582,1
82,7.40244,3.87805,0.611203,1
247,4.97976,4.06073,0.385366,1
63,6.25397,3.63492,0.57868,1
57,7.78947,3.42105,0.689189,1
401,5.00748,4.44888,0.311255,1
136,5.42647,3.80147,0.48374,1
12,9.41667,3,0.787611,1
191,5.58639,4.24607,0.418932,1
2,20,2,0.95,1
221,5.17195,4.02715,0.414698,1
6,8.33333,2.66667,0.8,1
279,5.86022,4.63799,0.379205,1
607,4.79077,4.63097,0.242091,1
549,4.53916,4.28051,0.277287,1
24,6.29167,3.20833,0.649007,1
45,6.11111,3.46667,0.596364,1
641,6.26053,5.67395,0.253426,1
94,6.10638,3.82979,0.536585,1
26,6.57692,3.23077,0.660819,1
6,10.8333,2.66667,0.846154,1
200,5.085,3.945,0.420846,1
111,5.91892,3.81081,0.525114,1
83,6.22892,4.04819,0.510638,1
2,13.5,2,0.925926,1
137,5.38686,3.85401,0.47019,1
10,4.1,3.6,0.365854,1
89,6.4382,3.98876,0.535777,1
40,6.95,3.775,0.600719,1
89,5.44944,3.48315,0.54433,1
54,6.5,3.55556,0.606838,1
131,5.63359,4.03817,0.460705,1
174,5.06897,3.8046,0.446712,1
89,5.75281,3.78652,0.515625,1
20,7.55,3.35,0.688742,1
88,5.97727,3.72727,0.543726,1
45,6.35556,3.55556,0.597902,1
85,6.28235,3.52941,0.597378,1
89,5.64045,3.64045,0.531873,1
