num_rules,average_rule_length,average_rule_usage,stddev_rule_length,stddev_rule_usage,proportion_terminal_characters,spam
131,5.30534,3.89313,35.4131,1.88911,0.306499,1
53,6.62264,3.56604,30.0435,1.55417,0.463362,1
22,7,3.27273,22.0454,1.28565,0.597701,1
329,5.231,4.66869,55.4813,3.02366,0.159826,1
370,4.87568,4.33243,51.2375,2.68837,0.139031,1
16,9.75,3.1875,29.5011,1.50909,0.733333,1
145,5.28276,3.8069,30.4967,2.11985,0.25588,1
80,5.7625,3.525,32.208,1.3962,0.449653,1
142,5.66197,3.99296,42.0541,2.66563,0.348987,1
91,6.49451,3.59341,40.1208,1.7881,0.489655,1
69,6.37681,3.66667,35.4867,1.66956,0.5,1
53,6.09434,3.66038,27.5943,1.8061,0.43026,1
61,6.13115,3.55738,29.4382,1.64988,0.46383,1
45,6.8,3.44444,30.7872,1.49154,0.545961,1
105,6.04762,3.93333,28.0086,2.2626,0.28534,1
83,6.10843,3.6747,36.8726,1.52575,0.481419,1
63,6.96825,3.52381,35.3926,1.93019,0.5,1
93,6.27957,3.6129,37.5355,1.95944,0.384442,1
50,6.46,3.4,30.0814,1.41421,0.538462,1
339,5.19764,4.38053,53.0928,3.30143,0.195742,1
11,8.36364,3.09091,19.8094,1.34533,0.71134,1
405,4.58025,4.0963,42.8313,2.54357,0.0672786,1
4,12.75,2.75,18.6195,1.47902,0.846154,1
270,5.22593,4.4,49.6904,2.8,0.210324,1
339,5.0472,4.25074,52.1644,2.67441,0.206721,1
96,6.30208,3.59375,38.4619,1.87404,0.472776,1
49,6.14286,3.57143,24.6444,1.59719,0.436409,1
69,6.43478,3.66667,35.9672,1.51482,0.506823,1
10,9.2,3.3,20.6049,1.55242,0.638889,1
51,7.11765,3.47059,33.3735,1.65509,0.520879,1
494,5.12146,4.67004,62.7841,3.74036,0.133994,1
70,6.34286,3.74286,35.7139,1.53703,0.478178,1
614,4.91368,4.59935,66.0112,4.22214,0.128014,1
76,6.30263,3.78947,37.2619,1.83041,0.472566,1
3,10.3333,2.33333,11.7851,1.37437,0.870968,1
33,7.18182,3.30303,28.9613,1.30233,0.624031,1
74,6.63514,3.63514,37.9682,1.96987,0.490066,1
67,6.08955,3.70149,30.7987,2.67389,0.419593,1
316,5.97152,4.85759,69.3052,3.33593,0.236293,1
78,5.84615,3.64103,32.84,1.4498,0.455373,1
115,5.66087,3.92174,37.3128,1.83515,0.346916,1
3,14.6667,2.33333,17.9134,1.37437,0.909091,1
283,5.91519,4.69965,64.6169,2.951,0.249602,1
262,5.73664,4.53435,59.6258,2.74709,0.267625,1
8,9.875,3,20.4599,1.32288,0.75,1
90,5.96667,3.52222,34.2632,1.43161,0.446686,1
136,6.52206,3.45588,52.4556,1.52367,0.572464,1
75,6,3.57333,34.0611,1.49375,0.490458,1
71,7.09859,4.42254,42.6579,2.38045,0.398473,1
118,5.82203,3.77966,40.2346,1.82792,0.375131,1
81,5.79012,3.49383,30.2397,1.45401,0.433442,1
42,5.83333,3.45238,24.0792,1.46714,0.429003,1
68,5.76471,3.64706,27.9212,1.64285,0.408478,1
137,5.92701,3.9927,45.0279,2.141,0.374651,1
33,6.42424,3.21212,22.9136,1.39821,0.569672,1
331,5.11178,4.4139,53.449,3.01321,0.194128,1
29,6.86207,3.31034,24.2227,1.42885,0.581498,1
518,5.27606,4.78185,67.3729,3.6945,0.137307,1
59,5.9322,3.52542,28.7696,1.67591,0.440789,1
84,6.11905,3.69048,35.7749,1.70417,0.428571,1
4,13.5,2.5,19.9186,1.32288,0.888889,1
157,5.51592,4.0828,41.6819,2.56746,0.294526,1
46,8.91304,3.47826,46.3741,2.33814,0.67426,1
3,12,2.33333,14.1421,1.37437,0.888889,1
210,5.32381,4.31429,45.2234,2.49691,0.234967,1
50,5.84,3.46,23.1165,1.59009,0.437824,1
858,5.20163,5.0979,84.5913,4.44676,0.0828594,1
69,6.37681,3.75362,35.3656,1.87204,0.443262,1
126,6.15873,3.80952,43.3852,1.82014,0.383985,1
291,6.05155,4.04124,68.5845,3.12649,0.369776,1
286,6.24825,5.06643,70.949,3.11198,0.229665,1
1,28,1,0,1,1,1
639,5.16745,4.80438,73.0026,4.13269,0.121445,1
45,6.48889,3.37778,27.0897,1.48756,0.513889,1
203,5.74877,4.41872,51.6645,2.5271,0.279221,1
126,5.97619,4.00794,43.3849,2.11381,0.375502,1
1,37,1,0,1,1,1
1,11,1,0,1,1,1
62,6.54839,3.77419,34.5023,1.55977,0.482474,1
2,13.5,2,11.5,1.41421,0.925926,1
3,17,2.66667,21.2132,1.59861,0.884615,1
252,6.18651,4.81746,65.5071,2.90839,0.262418,1
134,6.02239,4.17164,45.4369,2.20761,0.351426,1
107,5.31776,3.65421,31.4523,1.67222,0.354919,1
44,6.20455,3.43182,26.2112,1.52848,0.492582,1
94,5.24468,3.62766,29.9474,1.51576,0.360176,1
66,6.69697,3.71212,35.2162,1.65845,0.460595,1
86,6.0814,3.60465,32.148,2.00162,0.394459,1
198,5.87879,4.5202,54.1566,3.02466,0.260457,1
88,5.27273,3.52273,24.5203,1.75148,0.299876,1
54,5.88889,3.55556,26.4026,1.44871,0.441176,1
276,6.21014,4.14493,69.6968,3.22367,0.361693,1
82,7.40244,3.87805,48.511,1.69928,0.533813,1
247,4.97976,4.06073,42.5384,2.48321,0.217731,1
63,6.25397,3.63492,31.7255,1.56146,0.446184,1
57,7.78947,3.42105,40.2661,1.6905,0.57845,1
401,5.00748,4.44888,54.6063,3.16866,0.160958,1
136,5.42647,3.80147,37.9257,1.77739,0.35,1
12,9.41667,3,17.816,1.22474,0.552795,1
191,5.58639,4.24607,48.0583,2.30005,0.282732,1
2,20,2,18,1.41421,0.95,1
221,5.17195,4.02715,42.3519,2.30565,0.250926,1
6,8.33333,2.66667,14.1618,1.24722,0.8,1
279,5.86022,4.63799,64.0629,3.01456,0.262489,1
607,4.79077,4.63097,60.2658,3.53945,0.0964384,1
549,4.53916,4.28051,53.3822,3.10115,0.077903,1
24,6.29167,3.20833,17.3985,1.22404,0.492462,1
45,6.11111,3.46667,22.9223,1.55063,0.451791,1
641,6.26053,5.67395,106.243,4.96161,0.146902,1
94,6.10638,3.82979,38.8758,1.66719,0.421341,1
26,6.57692,3.23077,20.7089,1.36741,0.579487,1
6,10.8333,2.66667,18.8628,1.24722,0.820896,1
200,5.085,3.945,39.6443,2.19134,0.268003,1
111,5.91892,3.81081,38.5354,2.04461,0.368984,1
83,6.22892,4.04819,37.5231,1.97822,0.392273,1
2,13.5,2,9.5,1.41421,0.862069,1
137,5.38686,3.85401,31.5826,2.31794,0.242827,1
10,4.1,3.6,6.3,1.49666,0.154639,1
89,6.4382,3.98876,40.4653,1.90207,0.428771,1
40,6.95,3.775,30.2745,1.68059,0.509146,1
89,5.44944,3.48315,27.8019,1.44263,0.293008,1
54,6.5,3.55556,28.0058,1.46144,0.458065,1
131,5.63359,4.03817,40.6407,2.30467,0.331384,1
174,5.06897,3.8046,34.691,1.83728,0.236495,1
89,5.75281,3.78652,32.9747,1.99984,0.34555,1
20,7.55,3.35,21.926,1.4239,0.571429,1
88,5.97727,3.72727,35.0655,1.6077,0.415698,1
45,6.35556,3.55556,28.4411,1.47657,0.507418,1
85,6.28235,3.52941,36.7525,1.83488,0.481146,1
89,5.64045,3.64045,33.6202,1.57042,0.432739,1
71,6.02817,3.87324,32.2748,1.73959,0.388215,1
98,6.36735,3.94898,38.6056,2.0572,0.356004,1
307,5.15961,4.52769,50.9905,2.78521,0.176595,1
19,9.31579,3.26316,30.5701,1.46331,0.694301,1
44,5.75,3.31818,22.7827,1.44242,0.482428,1
631,6.24881,5.64025,106.127,4.91131,0.152174,1
84,5.7381,3.83333,32.417,1.83117,0.378295,1
58,6.01724,3.43103,25.844,1.50988,0.446352,1
344,5.13081,4.52907,52.4339,3.19052,0.166465,1
87,5.97701,3.88506,36.1284,1.68103,0.394428,1
545,6.13945,5.47339,94.8335,4.64972,0.159859,1
224,5.62054,4.24554,51.6614,2.37687,0.284492,1
4,10.75,2.5,14.5838,1.32288,0.840909,1
43,8.76744,3.53488,43.858,1.70974,0.663366,1
37,7.54054,3.78378,32.4134,1.68676,0.531722,1
166,5.13253,3.81325,35.3687,1.91885,0.286458,1
60,5.75,3.33333,27.118,1.31233,0.475638,1
15,11.0667,3.26667,33.658,1.8962,0.75,1
104,5.72115,3.75962,34.8114,1.68987,0.402614,1
569,6.21968,5.57645,99.5181,4.72475,0.158073,1
108,5.63889,3.69444,34.1732,1.62992,0.312992,1
87,5.75862,3.78161,34.4253,1.63247,0.407874,1
126,5.63492,4.00794,40.2823,1.98605,0.356681,1
224,5.87946,4.51786,55.8728,2.71399,0.267713,1
112,5.33036,3.625,30.5878,1.75319,0.362874,1
493,6.26369,5.49087,93.5368,4.34193,0.173482,1
20,6.05,3.2,16.2926,1.28841,0.277978,1
146,5.36986,3.86986,37.0185,2.04492,0.302403,1
7,9,3.14286,16.7417,1.50509,0.666667,1
475,5.07158,4.68,62.8798,3.88746,0.139658,1
4,7.75,2.5,8.25757,1.32288,0.735294,1
31,6.45161,3.19355,22.2143,1.41237,0.556962,1
98,5.4898,3.59184,32.8532,1.56386,0.412192,1
3,14.6667,2.33333,17.9134,1.37437,0.909091,1
75,6.4,3.74667,37.2698,1.67008,0.47487,1
73,6.0137,3.53425,31.8251,1.60975,0.450355,1
98,5.54082,3.66327,32.8479,1.57755,0.401709,1
311,5.34405,4.35691,19.4718,2.70309,0.027998,1
283,5.09541,4.36396,49.1273,2.49983,0.194444,1
31,7.06452,3.35484,27.3754,1.66653,0.603306,1
17,10.0588,3.29412,32.2353,1.6544,0.729282,1
44,6.06818,3.52273,22.788,1.33975,0.432133,1
196,5.02551,4.08673,15.0981,2.40273,0.133333,1
660,4.99545,4.80303,72.4574,4.2616,0.111536,1
372,4.6129,4.02957,41.3778,2.23768,0.0645055,1
389,5.12596,4.57841,56.6051,3.08985,0.154597,1
92,6.18478,4.02174,36.5189,1.96147,0.378414,1
95,5.45263,3.89474,31.3187,1.94651,0.316819,1
6,11.3333,2.83333,19.9889,1.34371,0.802817,1
57,6.19298,3.52632,30.1793,1.43399,0.496437,1
39,7.28205,3.51282,32.3989,1.45658,0.586751,1
500,6.25,5.462,94.177,4.32765,0.17366,1
105,5.50476,3.78095,32.6202,2.30313,0.346667,1
95,5.81053,3.84211,36.2237,1.91842,0.387895,1
2,25,2,23,1.41421,0.96,1
45,7.15556,3.75556,33.4478,1.58683,0.516971,1
120,5.74167,3.875,38.8127,1.73476,0.361725,1
303,5.12871,4.32013,48.8149,2.56464,0.186458,1
51,6.35294,3.60784,29.0934,1.81041,0.472772,1
6,9.66667,2.83333,15.8184,1.34371,0.758065,1
