num_rules,average_rule_len,average_rule_usage,std_rule_len,std_rule_usage,prop_term_char,prop_bigrams,prop_repeat_rule_bigrams,prop_repeat_bigrams,spam
131,5.30534,3.89313,35.4131,1.88911,0.306499,0.89313,0,0.0152672,1
53,6.62264,3.56604,30.0435,1.55417,0.463362,0.811321,0.0377358,0.0377358,1
22,7,3.27273,22.0454,1.28565,0.597701,0.818182,0,0,1
329,5.231,4.66869,55.4813,3.02366,0.159826,0.87538,0,0.0121581,1
370,4.87568,4.33243,51.2375,2.68837,0.139031,0.875676,0.00810811,0.0108108,1
16,9.75,3.1875,29.5011,1.50909,0.733333,0.8125,0,0,1
145,5.28276,3.8069,30.4967,2.11985,0.25588,0.855172,0,0.0206897,1
80,5.7625,3.525,32.208,1.3962,0.449653,0.9,0,0.0125,1
142,5.66197,3.99296,42.0541,2.66563,0.348987,0.915493,0,0.0140845,1
91,6.49451,3.59341,40.1208,1.7881,0.489655,0.901099,0.010989,0.021978,1
69,6.37681,3.66667,35.4867,1.66956,0.5,0.913043,0,0.0144928,1
53,6.09434,3.66038,27.5943,1.8061,0.43026,0.849057,0.0377358,0.0377358,1
61,6.13115,3.55738,29.4382,1.64988,0.46383,0.836066,0.0163934,0.0655738,1
45,6.8,3.44444,30.7872,1.49154,0.545961,0.844444,0,0,1
105,6.04762,3.93333,28.0086,2.2626,0.28534,0.87619,0,0.00952381,1
83,6.10843,3.6747,36.8726,1.52575,0.481419,0.951807,0,0.0240964,1
63,6.96825,3.52381,35.3926,1.93019,0.5,0.857143,0,0,1
93,6.27957,3.6129,37.5355,1.95944,0.384442,0.88172,0.0322581,0.0322581,1
50,6.46,3.4,30.0814,1.41421,0.538462,0.86,0,0.02,1
339,5.19764,4.38053,53.0928,3.30143,0.195742,0.855457,0,0.00884956,1
11,8.36364,3.09091,19.8094,1.34533,0.71134,0.818182,0,0,1
405,4.58025,4.0963,42.8313,2.54357,0.0672786,0.8,0.00493827,0.017284,1
4,12.75,2.75,18.6195,1.47902,0.846154,0.75,0,0,1
270,5.22593,4.4,49.6904,2.8,0.210324,0.888889,0,0.00740741,1
339,5.0472,4.25074,52.1644,2.67441,0.206721,0.876106,0.00589971,0.0117994,1
96,6.30208,3.59375,38.4619,1.87404,0.472776,0.84375,0.0104167,0.03125,1
49,6.14286,3.57143,24.6444,1.59719,0.436409,0.836735,0.0408163,0.0408163,1
69,6.43478,3.66667,35.9672,1.51482,0.506823,0.956522,0,0.0144928,1
10,9.2,3.3,20.6049,1.55242,0.638889,0.6,0,0,1
51,7.11765,3.47059,33.3735,1.65509,0.520879,0.803922,0,0,1
494,5.12146,4.67004,62.7841,3.74036,0.133994,0.852227,0.00202429,0.00809717,1
70,6.34286,3.74286,35.7139,1.53703,0.478178,0.942857,0,0,1
614,4.91368,4.59935,66.0112,4.22214,0.128014,0.884365,0.00162866,0.00977199,1
76,6.30263,3.78947,37.2619,1.83041,0.472566,0.986842,0,0.0263158,1
3,10.3333,2.33333,11.7851,1.37437,0.870968,0.666667,0,0,1
33,7.18182,3.30303,28.9613,1.30233,0.624031,0.939394,0,0,1
74,6.63514,3.63514,37.9682,1.96987,0.490066,0.864865,0.0135135,0.0135135,1
67,6.08955,3.70149,30.7987,2.67389,0.419593,0.895522,0,0.0149254,1
316,5.97152,4.85759,69.3052,3.33593,0.236293,0.952532,0,0.0189873,1
78,5.84615,3.64103,32.84,1.4498,0.455373,0.897436,0,0,1
115,5.66087,3.92174,37.3128,1.83515,0.346916,0.886957,0,0,1
3,14.6667,2.33333,17.9134,1.37437,0.909091,0.666667,0,0,1
283,5.91519,4.69965,64.6169,2.951,0.249602,0.954064,0,0.0106007,1
262,5.73664,4.53435,59.6258,2.74709,0.267625,0.977099,0,0.0114504,1
8,9.875,3,20.4599,1.32288,0.75,0.75,0,0,1
90,5.96667,3.52222,34.2632,1.43161,0.446686,0.844444,0.0222222,0.0222222,1
136,6.52206,3.45588,52.4556,1.52367,0.572464,0.985294,0,0.0514706,1
75,6,3.57333,34.0611,1.49375,0.490458,0.946667,0,0,1
71,7.09859,4.42254,42.6579,2.38045,0.398473,0.985915,0,0,1
118,5.82203,3.77966,40.2346,1.82792,0.375131,0.932203,0.0254237,0.0508475,1
81,5.79012,3.49383,30.2397,1.45401,0.433442,0.814815,0.0123457,0.0246914,1
42,5.83333,3.45238,24.0792,1.46714,0.429003,0.928571,0.0238095,0.0238095,1
68,5.76471,3.64706,27.9212,1.64285,0.408478,0.867647,0,0,1
137,5.92701,3.9927,45.0279,2.141,0.374651,0.978102,0,0,1
33,6.42424,3.21212,22.9136,1.39821,0.569672,0.666667,0.030303,0.030303,1
331,5.11178,4.4139,53.449,3.01321,0.194128,0.897281,0,0.00302115,1
29,6.86207,3.31034,24.2227,1.42885,0.581498,0.758621,0.0344828,0.0344828,1
518,5.27606,4.78185,67.3729,3.6945,0.137307,0.84556,0.003861,0.0135135,1
59,5.9322,3.52542,28.7696,1.67591,0.440789,0.881356,0,0,1
84,6.11905,3.69048,35.7749,1.70417,0.428571,0.857143,0.0119048,0.0119048,1
4,13.5,2.5,19.9186,1.32288,0.888889,0.75,0,0,1
157,5.51592,4.0828,41.6819,2.56746,0.294526,0.923567,0.0191083,0.0254777,1
46,8.91304,3.47826,46.3741,2.33814,0.67426,0.978261,0.0217391,0.0434783,1
3,12,2.33333,14.1421,1.37437,0.888889,0.666667,0,0,1
210,5.32381,4.31429,45.2234,2.49691,0.234967,0.895238,0,0.00952381,1
50,5.84,3.46,23.1165,1.59009,0.437824,0.8,0.04,0.04,1
858,5.20163,5.0979,84.5913,4.44676,0.0828594,0.889277,0.0011655,0.00699301,1
69,6.37681,3.75362,35.3656,1.87204,0.443262,0.898551,0,0.0144928,1
126,6.15873,3.80952,43.3852,1.82014,0.383985,0.888889,0.00793651,0.015873,1
291,6.05155,4.04124,68.5845,3.12649,0.369776,0.975945,0,0.0137457,1
286,6.24825,5.06643,70.949,3.11198,0.229665,0.954545,0,0.0104895,1
1,28,1,0,1,1,0,0,0,1
639,5.16745,4.80438,73.0026,4.13269,0.121445,0.849765,0.00156495,0.00625978,1
45,6.48889,3.37778,27.0897,1.48756,0.513889,0.822222,0,0,1
203,5.74877,4.41872,51.6645,2.5271,0.279221,0.935961,0,0.0246305,1
126,5.97619,4.00794,43.3849,2.11381,0.375502,0.936508,0,0,1
1,37,1,0,1,1,0,0,0,1
1,11,1,0,1,1,0,0,0,1
62,6.54839,3.77419,34.5023,1.55977,0.482474,0.887097,0,0,1
2,13.5,2,11.5,1.41421,0.925926,0.5,0,0,1
3,17,2.66667,21.2132,1.59861,0.884615,0.666667,0,0,1
252,6.18651,4.81746,65.5071,2.90839,0.262418,0.964286,0,0.0119048,1
134,6.02239,4.17164,45.4369,2.20761,0.351426,0.947761,0,0.0149254,1
107,5.31776,3.65421,31.4523,1.67222,0.354919,0.859813,0,0.0186916,1
44,6.20455,3.43182,26.2112,1.52848,0.492582,0.886364,0,0.0227273,1
94,5.24468,3.62766,29.9474,1.51576,0.360176,0.904255,0.0212766,0.0319149,1
66,6.69697,3.71212,35.2162,1.65845,0.460595,0.924242,0,0.0151515,1
86,6.0814,3.60465,32.148,2.00162,0.394459,0.848837,0,0,1
198,5.87879,4.5202,54.1566,3.02466,0.260457,0.974747,0,0.0252525,1
88,5.27273,3.52273,24.5203,1.75148,0.299876,0.784091,0.0113636,0.0113636,1
54,5.88889,3.55556,26.4026,1.44871,0.441176,0.888889,0,0,1
276,6.21014,4.14493,69.6968,3.22367,0.361693,0.98913,0,0.0181159,1
82,7.40244,3.87805,48.511,1.69928,0.533813,0.97561,0,0.0487805,1
247,4.97976,4.06073,42.5384,2.48321,0.217731,0.866397,0,0.00809717,1
63,6.25397,3.63492,31.7255,1.56146,0.446184,0.857143,0,0.015873,1
57,7.78947,3.42105,40.2661,1.6905,0.57845,0.807018,0,0.0350877,1
401,5.00748,4.44888,54.6063,3.16866,0.160958,0.842893,0.00498753,0.00997506,1
136,5.42647,3.80147,37.9257,1.77739,0.35,0.911765,0,0.0147059,1
12,9.41667,3,17.816,1.22474,0.552795,0.75,0,0,1
191,5.58639,4.24607,48.0583,2.30005,0.282732,0.931937,0,0,1
2,20,2,18,1.41421,0.95,0.5,0,0,1
221,5.17195,4.02715,42.3519,2.30565,0.250926,0.864253,0.00452489,0.0135747,1
6,8.33333,2.66667,14.1618,1.24722,0.8,0.833333,0,0,1
279,5.86022,4.63799,64.0629,3.01456,0.262489,0.978495,0,0.0143369,1
607,4.79077,4.63097,60.2658,3.53945,0.0964384,0.840198,0.00329489,0.0115321,1
549,4.53916,4.28051,53.3822,3.10115,0.077903,0.856102,0.0145719,0.0255009,1
24,6.29167,3.20833,17.3985,1.22404,0.492462,0.833333,0,0,1
45,6.11111,3.46667,22.9223,1.55063,0.451791,0.777778,0,0,1
641,6.26053,5.67395,106.243,4.96161,0.146902,0.956318,0,0.0109204,1
94,6.10638,3.82979,38.8758,1.66719,0.421341,0.925532,0.0319149,0.0638298,1
26,6.57692,3.23077,20.7089,1.36741,0.579487,0.769231,0,0,1
6,10.8333,2.66667,18.8628,1.24722,0.820896,0.5,0,0,1
200,5.085,3.945,39.6443,2.19134,0.268003,0.9,0,0.01,1
111,5.91892,3.81081,38.5354,2.04461,0.368984,0.846847,0,0.00900901,1
83,6.22892,4.04819,37.5231,1.97822,0.392273,0.927711,0,0,1
2,13.5,2,9.5,1.41421,0.862069,0,0,0,1
137,5.38686,3.85401,31.5826,2.31794,0.242827,0.79562,0,0.00729927,1
10,4.1,3.6,6.3,1.49666,0.154639,0.9,0.3,0.4,1
89,6.4382,3.98876,40.4653,1.90207,0.428771,0.932584,0,0,1
40,6.95,3.775,30.2745,1.68059,0.509146,0.9,0,0,1
89,5.44944,3.48315,27.8019,1.44263,0.293008,0.786517,0,0,1
54,6.5,3.55556,28.0058,1.46144,0.458065,0.814815,0,0.0185185,1
131,5.63359,4.03817,40.6407,2.30467,0.331384,0.923664,0,0.00763359,1
174,5.06897,3.8046,34.691,1.83728,0.236495,0.810345,0.0114943,0.0172414,1
89,5.75281,3.78652,32.9747,1.99984,0.34555,0.865169,0,0,1
20,7.55,3.35,21.926,1.4239,0.571429,0.75,0,0,1
88,5.97727,3.72727,35.0655,1.6077,0.415698,0.829545,0,0,1
45,6.35556,3.55556,28.4411,1.47657,0.507418,0.933333,0,0,1
85,6.28235,3.52941,36.7525,1.83488,0.481146,0.894118,0.0117647,0.0235294,1
89,5.64045,3.64045,33.6202,1.57042,0.432739,0.966292,0,0.011236,1
71,6.02817,3.87324,32.2748,1.73959,0.388215,0.887324,0,0,1
98,6.36735,3.94898,38.6056,2.0572,0.356004,0.887755,0,0.0306122,1
307,5.15961,4.52769,50.9905,2.78521,0.176595,0.882736,0.00651466,0.019544,1
19,9.31579,3.26316,30.5701,1.46331,0.694301,0.894737,0,0,1
44,5.75,3.31818,22.7827,1.44242,0.482428,0.863636,0,0,1
631,6.24881,5.64025,106.127,4.91131,0.152174,0.982567,0,0.00950872,1
84,5.7381,3.83333,32.417,1.83117,0.378295,0.904762,0,0,1
58,6.01724,3.43103,25.844,1.50988,0.446352,0.810345,0.0172414,0.0517241,1
344,5.13081,4.52907,52.4339,3.19052,0.166465,0.860465,0,0.00872093,1
87,5.97701,3.88506,36.1284,1.68103,0.394428,0.931034,0,0,1
545,6.13945,5.47339,94.8335,4.64972,0.159859,0.944954,0,0.00917431,1
224,5.62054,4.24554,51.6614,2.37687,0.284492,0.924107,0,0,1
4,10.75,2.5,14.5838,1.32288,0.840909,0.5,0,0,1
43,8.76744,3.53488,43.858,1.70974,0.663366,0.976744,0,0,1
37,7.54054,3.78378,32.4134,1.68676,0.531722,0.891892,0,0,1
166,5.13253,3.81325,35.3687,1.91885,0.286458,0.873494,0.0060241,0.0060241,1
60,5.75,3.33333,27.118,1.31233,0.475638,0.833333,0,0,1
15,11.0667,3.26667,33.658,1.8962,0.75,0.866667,0,0,1
104,5.72115,3.75962,34.8114,1.68987,0.402614,0.951923,0,0,1
569,6.21968,5.57645,99.5181,4.72475,0.158073,0.968366,0,0.00878735,1
108,5.63889,3.69444,34.1732,1.62992,0.312992,0.824074,0,0,1
87,5.75862,3.78161,34.4253,1.63247,0.407874,0.942529,0,0,1
126,5.63492,4.00794,40.2823,1.98605,0.356681,0.960317,0,0.0238095,1
224,5.87946,4.51786,55.8728,2.71399,0.267713,0.959821,0.0223214,0.0491071,1
112,5.33036,3.625,30.5878,1.75319,0.362874,0.848214,0.00892857,0.0267857,1
493,6.26369,5.49087,93.5368,4.34193,0.173482,0.963489,0.0020284,0.0141988,1
20,6.05,3.2,16.2926,1.28841,0.277978,0.75,0.05,0.05,1
146,5.36986,3.86986,37.0185,2.04492,0.302403,0.849315,0,0.00684932,1
7,9,3.14286,16.7417,1.50509,0.666667,0.714286,0,0,1
475,5.07158,4.68,62.8798,3.88746,0.139658,0.88,0,0.00842105,1
4,7.75,2.5,8.25757,1.32288,0.735294,0.25,0,0,1
31,6.45161,3.19355,22.2143,1.41237,0.556962,0.774194,0,0,1
98,5.4898,3.59184,32.8532,1.56386,0.412192,0.908163,0,0.0204082,1
3,14.6667,2.33333,17.9134,1.37437,0.909091,0.666667,0,0,1
75,6.4,3.74667,37.2698,1.67008,0.47487,0.92,0,0,1
73,6.0137,3.53425,31.8251,1.60975,0.450355,0.821918,0,0.0273973,1
98,5.54082,3.66327,32.8479,1.57755,0.401709,0.867347,0,0.0102041,1
311,5.34405,4.35691,19.4718,2.70309,0.027998,0.845659,0.00321543,0.0128617,1
283,5.09541,4.36396,49.1273,2.49983,0.194444,0.90106,0,0,1
31,7.06452,3.35484,27.3754,1.66653,0.603306,0.903226,0,0,1
17,10.0588,3.29412,32.2353,1.6544,0.729282,0.941176,0,0,1
44,6.06818,3.52273,22.788,1.33975,0.432133,0.772727,0.0227273,0.0454545,1
196,5.02551,4.08673,15.0981,2.40273,0.133333,0.821429,0.00510204,0.0153061,1
660,4.99545,4.80303,72.4574,4.2616,0.111536,0.871212,0,0.00606061,1
372,4.6129,4.02957,41.3778,2.23768,0.0645055,0.811828,0.00537634,0.016129,1
389,5.12596,4.57841,56.6051,3.08985,0.154597,0.85347,0,0.00771208,1
92,6.18478,4.02174,36.5189,1.96147,0.378414,0.913043,0.0108696,0.0434783,1
95,5.45263,3.89474,31.3187,1.94651,0.316819,0.894737,0.0315789,0.0421053,1
6,11.3333,2.83333,19.9889,1.34371,0.802817,0.666667,0,0,1
57,6.19298,3.52632,30.1793,1.43399,0.496437,0.877193,0,0,1
39,7.28205,3.51282,32.3989,1.45658,0.586751,0.948718,0,0,1
500,6.25,5.462,94.177,4.32765,0.17366,0.97,0,0.018,1
105,5.50476,3.78095,32.6202,2.30313,0.346667,0.857143,0,0,1
95,5.81053,3.84211,36.2237,1.91842,0.387895,0.926316,0,0.0105263,1
2,25,2,23,1.41421,0.96,0.5,0,0,1
45,7.15556,3.75556,33.4478,1.58683,0.516971,0.911111,0,0,1
120,5.74167,3.875,38.8127,1.73476,0.361725,0.916667,0,0,1
303,5.12871,4.32013,48.8149,2.56464,0.186458,0.867987,0,0.00660066,1
51,6.35294,3.60784,29.0934,1.81041,0.472772,0.882353,0,0.0196078,1
6,9.66667,2.83333,15.8184,1.34371,0.758065,0.5,0,0,1
46,6.43478,3.63043,27.5307,1.40432,0.469169,0.826087,0,0,1
24,7.125,3.29167,15.7779,1.39878,0.382838,0.75,0.125,0.125,1
5,12.8,2.8,21.6,1.4,0.846154,0.8,0,0,1
11,9.54545,3,23.8608,1.24316,0.768519,0.909091,0,0,1
141,5.7305,3.89362,37.2713,2.44428,0.306513,0.808511,0.0141844,0.0141844,1
160,5.725,3.8,40.978,2.31787,0.344878,0.85,0.01875,0.04375,1
51,5.92157,3.41176,23.9933,1.43727,0.456633,0.803922,0,0.0196078,1
50,5.96,3.38,27.0096,1.38405,0.523392,0.92,0,0,1
16,7.4375,3.125,19.0229,1.36359,0.607143,0.75,0,0,1
209,5.89474,4.43541,55.4089,2.56623,0.281953,0.956938,0.00478469,0.0191388,1
448,5.08705,4.56473,62.0058,3.42331,0.159309,0.881696,0,0.00446429,1
80,6.1375,3.7,34.4248,1.6,0.437202,0.875,0,0.025,1
