num_rules,average_rule_len,average_rule_usage,proportional_terminal_char,spam
3,13,2.33333,0.897436,0
3,11,2.33333,0.878788,0
361,5.02216,4.33518,0.335907,0
368,4.72554,4.25543,0.311098,0
45,5.95556,3.26667,0.619403,0
138,5.02174,3.86232,0.430014,0
262,4.79389,4.01527,0.371019,0
52,6.03846,3.59615,0.570064,0
55,5.58182,3.29091,0.589577,0
4,12.5,2.5,0.88,0
142,5.26056,4.02113,0.425703,0
151,5.41722,3.87417,0.469438,0
110,5.71818,3.85455,0.500795,0
113,4.97345,3.61947,0.47331,0
78,5.47436,3.53846,0.5363,0
88,5.79545,3.82955,0.511765,0
122,4.58197,3.54098,0.445438,0
51,5.92157,3.47059,0.582781,0
115,5.15652,3.64348,0.487352,0
52,6.57692,3.61538,0.602339,0
764,5.06414,4.95026,0.219953,0
38,5.34211,3.18421,0.591133,0
167,5.02994,3.88623,0.42619,0
70,5.78571,3.6,0.550617,0
314,4.94268,4.30892,0.330541,0
191,5.24607,4.08377,0.412176,0
413,5.06538,4.25908,0.356597,0
477,4.43187,4.10273,0.299905,0
50,5.7,3.3,0.596491,0
281,5.16726,4.30605,0.360193,0
538,5.0223,4.68401,0.266469,0
146,5.67808,3.79452,0.507841,0
22,8.13636,3.5,0.692737,0
328,5.20427,4.41768,0.343292,0
190,4.92105,3.97368,0.395722,0
336,5.01488,4.3244,0.337092,0
104,4.88462,3.52885,0.482283,0
303,5.0396,4.38944,0.327439,0
103,5.32039,3.8835,0.458029,0
57,6.38596,3.47368,0.612637,0
226,4.83628,3.93363,0.393413,0
132,4.57576,3.60606,0.430464,0
73,5.36986,3.60274,0.515306,0
172,4.88372,3.90698,0.404762,0
125,5.528,3.792,0.494935,0
152,5.30921,3.82237,0.468401,0
75,5.82667,3.61333,0.551487,0
83,5.56627,3.56627,0.538961,0
13,8.76923,3,0.77193,0
440,4.91364,4.56136,0.275208,0
87,5.47126,3.55172,0.533613,0
116,5.69828,3.94828,0.482602,0
46,6.26087,3.41304,0.614583,0
307,4.99023,4.34202,0.330287,0
46,6.04348,3.3913,0.604317,0
103,5.56311,3.74757,0.506108,0
43,6.06977,3.27907,0.624521,0
317,4.88959,4.33123,0.31871,0
162,4.75926,3.88272,0.394293,0
81,5.32099,3.48148,0.533643,0
117,5.2735,3.79487,0.470016,0
110,4.70909,3.47273,0.474903,0
388,5.27577,4.65979,0.306302,0
103,5.03883,3.56311,0.491329,0
55,6.25455,3.58182,0.587209,0
195,5.07179,4.15385,0.37816,0
333,4.90991,4.42042,0.303364,0
717,4.88842,4.70851,0.241369,0
740,4.65135,4.65541,0.21412,0
79,5.56962,3.62025,0.529545,0
356,5.00562,4.33427,0.333895,0
99,4.9697,3.52525,0.49187,0
104,5.23077,3.66346,0.490809,0
72,6.31944,3.77778,0.56044,0
37,7,3.59459,0.629344,0
24,7.04167,3.20833,0.686391,0
169,5.14793,3.88166,0.44023,0
25,6.84,3.08,0.695906,0
31,6.12903,3.19355,0.642105,0
147,4.89796,3.63265,0.4625,0
313,4.92652,4.33227,0.323606,0
47,5.70213,3.42553,0.574627,0
413,5.38499,4.68765,0.315198,0
136,5.55147,3.76471,0.501987,0
286,4.96503,4.36713,0.321831,0
76,5.43421,3.55263,0.530266,0
32,6.53125,3.25,0.655502,0
190,5.01579,3.95789,0.410283,0
51,5.84314,3.47059,0.577181,0
38,6.28947,3.39474,0.619247,0
191,5.03665,3.82199,0.439709,0
198,5.18182,4.04545,0.412281,0
205,4.79512,3.86341,0.402848,0
308,4.89935,4.30844,0.324718,0
183,5.12022,4.03825,0.406617,0
51,6.4902,3.5098,0.613293,0
71,5.85915,3.46479,0.579327,0
108,5.47222,3.92593,0.465313,0
324,4.93519,4.36111,0.318949,0
180,5.1,3.90556,0.430283,0
103,5.07767,3.67961,0.472275,0
746,4.65013,4.6555,0.213894,0
391,4.58056,4.18159,0.305416,0
79,5.89873,3.74684,0.534335,0
410,4.86098,4.33902,0.313096,0
135,5.13333,3.71111,0.471861,0
352,4.90625,4.36932,0.31326,0
74,5.64865,3.62162,0.535885,0
